session_date,side,entry_time,entry_price,stop_loss,take_profit,size,risk_amount,exit_time,exit_price,exit_reason,pnl,ret_pct,equity_before,equity_after,equity_curve
2025-12-16,1,2025-12-16 15:50:00+00:00,482.5,481.61065673828125,483.5672119140625,449.7700912771944,400.0,2025-12-16 15:55:00+00:00,481.9700012207031,session_close,-238.3775993411571,-0.0023837759934115708,100000.0,99761.62240065885,0.9976162240065884
2025-12-17,-1,2025-12-17 15:35:00+00:00,479.9700012207031,480.4949951171875,479.3400085449219,760.0973883217554,399.0464896026354,2025-12-17 15:55:00+00:00,479.7699890136719,session_close,152.02875619692335,0.0015239202464686393,99761.62240065885,99913.65115685576,0.9991365115685577
2025-12-18,1,2025-12-18 15:45:00+00:00,481.7099914550781,480.4800109863281,483.18596801757815,324.92760233305376,399.65460462742305,2025-12-18 15:55:00+00:00,480.4800109863281,sl,-399.65460462742305,-0.004,99913.65115685576,99513.99655222835,0.9951399655222835
2025-12-19,-1,2025-12-19 15:45:00+00:00,481.0,482.15748596191406,479.61101684570315,343.8970314168415,398.0559862089134,2025-12-19 15:55:00+00:00,481.17999267578125,session_close,-61.8989468779459,-0.0006220124708332784,99513.99655222835,99452.0976053504,0.994520976053504
2025-12-22,-1,2025-12-22 15:55:00+00:00,483.42999267578125,483.6999969482422,483.1059875488281,1473.3410949226886,397.8083904214016,2025-12-22 15:55:00+00:00,483.42999267578125,session_close,-0.0,-0.0,99452.0976053504,99452.0976053504,0.994520976053504
2025-12-23,-1,2025-12-23 15:55:00+00:00,484.19000244140625,484.45249938964844,483.8750061035156,1515.478153499795,397.8083904214016,2025-12-23 15:55:00+00:00,484.19000244140625,session_close,-0.0,-0.0,99452.0976053504,99452.0976053504,0.994520976053504
2025-12-26,1,2025-12-26 15:30:00+00:00,486.6400146484375,486.37750244140625,486.955029296875,1515.3900647905705,397.8083904214016,2025-12-26 15:55:00+00:00,486.955029296875,tp,477.3700685056991,0.004800000000000173,99452.0976053504,99929.4676738561,0.999294676738561
2025-12-29,1,2025-12-29 15:25:00+00:00,485.2099914550781,484.97999572753906,485.485986328125,1737.936069388664,399.7178706954244,2025-12-29 15:40:00+00:00,484.97999572753906,sl,-399.7178706954244,-0.004,99929.4676738561,99529.74980316067,0.9952974980316067
2025-12-30,1,2025-12-30 15:35:00+00:00,484.0899963378906,483.8050079345703,484.431982421875,1396.9656118434305,398.1189992126427,2025-12-30 15:55:00+00:00,483.8050079345703,sl,-398.1189992126427,-0.004,99529.74980316067,99131.63080394802,0.9913163080394802
2025-12-31,-1,2025-12-31 15:00:00+00:00,481.2900085449219,481.9127502441406,480.5427185058594,636.7431692999645,396.5265232157921,2025-12-31 15:55:00+00:00,480.5427185058594,tp,475.83182785893604,0.004799999999999854,99131.63080394802,99607.46263180696,0.9960746263180696
2026-01-05,-1,2026-01-05 15:15:00+00:00,490.4200134277344,491.0400085449219,489.6760192871094,642.6338522384427,398.42985052722787,2026-01-05 15:55:00+00:00,489.6760192871094,tp,478.1158206326588,0.004799999999999853,99607.46263180696,100085.57845243963,1.0008557845243964
2026-01-06,1,2026-01-06 15:00:00+00:00,494.8599853515625,494.4800109863281,495.3159545898437,1053.603480758025,400.34231380975854,2026-01-06 15:55:00+00:00,494.67498779296875,session_close,-194.91407166611168,-0.001947474098465987,100085.57845243963,99890.66438077352,0.9989066438077352
2026-01-07,-1,2026-01-07 15:05:00+00:00,491.20001220703125,491.72349548339844,490.57183227539065,763.2768333994081,399.5626575230941,2026-01-07 15:25:00+00:00,490.57183227539065,tp,479.47518902769554,0.004799999999999826,99890.66438077352,100370.13956980122,1.0037013956980123
2026-01-09,1,2026-01-09 15:25:00+00:00,495.3598937988281,495.11500549316406,495.653759765625,1639.4435707761213,401.4805582792049,2026-01-09 15:30:00+00:00,495.11500549316406,sl,-401.4805582792049,-0.004,100370.13956980122,99968.65901152202,0.9996865901152202
2026-01-12,1,2026-01-12 15:50:00+00:00,496.19000244140625,495.4599914550781,497.066015625,547.7652302979898,399.8746360460881,2026-01-12 15:55:00+00:00,495.8699951171875,session_close,-175.28888564772708,-0.0017534384014046237,99968.65901152202,99793.3701258743,0.9979337012587429
2026-01-13,-1,2026-01-13 15:30:00+00:00,490.7099914550781,492.1449890136719,488.9879943847656,278.1701460835055,399.17348050349716,2026-01-13 15:55:00+00:00,491.9100036621094,session_close,-333.80757093187265,-0.0033449874526817235,99793.3701258743,99459.56255494243,0.9945956255494243
2026-01-14,1,2026-01-14 15:05:00+00:00,490.8999938964844,490.1475067138672,491.802978515625,528.6977099544323,397.83825021976975,2026-01-14 15:55:00+00:00,491.55999755859375,session_close,348.9424247187655,0.0035083848727567677,99459.56255494243,99808.5049796612,0.9980850497966121
2026-01-15,-1,2026-01-15 15:15:00+00:00,494.2300109863281,494.99000549316406,493.318017578125,525.3117178185457,399.23401991864483,2026-01-15 15:55:00+00:00,494.489990234375,session_close,-136.5701453886777,-0.0013683217218463269,99808.5049796612,99671.93483427253,0.9967193483427252
2026-01-16,-1,2026-01-16 15:35:00+00:00,493.4700012207031,494.21998596191406,492.57001953125,531.5944677665874,398.68773933709014,2026-01-16 15:55:00+00:00,493.42999267578125,session_close,21.268321143859744,0.00021338324754328498,99671.93483427253,99693.20315541638,0.9969320315541639
2026-01-20,-1,2026-01-20 15:10:00+00:00,484.3699951171875,484.7850036621094,483.8719848632812,960.8785590107167,398.77281262166554,2026-01-20 15:15:00+00:00,484.7850036621094,sl,-398.77281262166554,-0.004,99693.20315541638,99294.43034279472,0.9929443034279472
2026-01-22,-1,2026-01-22 15:25:00+00:00,493.489990234375,494.63999938964844,492.1099792480469,345.3691821059824,397.17772137117885,2026-01-22 15:55:00+00:00,493.7200012207031,session_close,-79.43870622353484,-0.000800031844175833,99294.43034279472,99214.99163657118,0.9921499163657118
2026-01-26,1,2026-01-26 15:10:00+00:00,494.55999755859375,494.3271026611328,494.8394714355469,1704.0303195687163,396.85996654628474,2026-01-26 15:20:00+00:00,494.8394714355469,tp,476.23195985558044,0.004800000000000391,99214.99163657118,99691.22359642676,0.9969122359642676
2026-01-27,1,2026-01-27 15:45:00+00:00,490.0400085449219,489.8500061035156,490.26801147460935,2098.7356343126967,398.76489438570707,2026-01-27 15:55:00+00:00,490.0799865722656,session_close,83.90331057585549,0.0008416318663668487,99691.22359642676,99775.12690700262,0.9977512690700262
2026-01-29,1,2026-01-29 15:55:00+00:00,490.2099914550781,489.5350036621094,491.0199768066406,591.2707041303304,399.10050762801046,2026-01-29 15:55:00+00:00,490.2099914550781,session_close,0.0,0.0,99775.12690700262,99775.12690700262,0.9977512690700262
2026-01-30,1,2026-01-30 15:45:00+00:00,489.6499938964844,488.1949920654297,491.39599609375,274.2955363421876,399.10050762801046,2026-01-30 15:55:00+00:00,489.07000732421875,session_close,-159.08772791086653,-0.0015944627969167848,99775.12690700262,99616.03917909175,0.9961603917909175
2026-02-03,1,2026-02-03 15:25:00+00:00,491.4100036621094,489.9649963378906,493.1440124511719,275.7523439763868,398.46415671636703,2026-02-03 15:55:00+00:00,492.2900085449219,session_close,242.66340914621244,0.0024359873284054913,99616.03917909175,99858.70258823797,0.9985870258823797
2026-02-05,-1,2026-02-05 15:20:00+00:00,489.3800048828125,490.38499450683594,488.17401733398435,397.45167592261294,399.4348103529519,2026-02-05 15:55:00+00:00,488.8699951171875,session_close,202.70423608455528,0.0020299105719447947,99858.70258823797,100061.40682432252,1.0006140682432252
2026-02-06,1,2026-02-06 15:30:00+00:00,500.3999938964844,499.9600067138672,500.927978515625,909.6756521780892,400.24562729729007,2026-02-06 15:45:00+00:00,500.927978515625,tp,480.2947527567481,0.0048000000000000004,100061.40682432252,100541.70157707926,1.0054170157707927
2026-02-09,-1,2026-02-09 15:30:00+00:00,501.0400085449219,501.64500427246094,500.314013671875,664.743217186357,402.16680630831706,2026-02-09 15:50:00+00:00,501.64500427246094,sl,-402.1668063083171,-0.004000000000000001,100541.70157707926,100139.53477077094,1.0013953477077095
